Id,Label,name,attribute,event_id,meta_category,[z],Degree,modularity_class,shared_cluster,X,Y,Z,Size,Color
20181,,Grenzen und neue Horizonte in industrieller Tätigkeit,workshop,6,0,1,8,5,5,-40.082611,10.027218,0.003185,50,"#df89ff"
20182,,SACRED DANCE - Meditation des Tanzes,workshop,6,0,1,5,7,7,429.126282,36.747871,0.001909,50,"#00c4ff"
20183,,"Ethische Grenzen der Tier-Nutzung am Beipiel des
Schweines",workshop,6,0,1,3,5,5,-775.327576,703.197388,0.001797,50,"#df89ff"
20184,,"""Ich bin die Frau, die ich bin"" - Gedanken zum Thema
Identität und Beziehung",workshop,6,0,1,4,0,0,-564.565735,328.298767,0.0042,50,"#d3b3b0"
20185,,"Atem, Körper und Bewusstsein",workshop,6,0,1,7,3,3,521.661194,246.784317,0.007615,50,"#73c000"
20186,,The game without borders,workshop,6,0,1,4,6,6,-552.982483,-467.587585,0.005587,50,"#4c463e"
20187,,"""Wie bin ich gestimmt?""",workshop,6,0,1,7,3,3,444.809204,-296.478333,0.00687,50,"#73c000"
20188,,"Deep other: Mind and Time, Spirit and Matter",workshop,6,0,1,8,3,3,138.746368,-67.328178,0.008794,50,"#73c000"
20189,,"""Le Khalife Amoureux""",workshop,6,0,1,3,0,0,-1140.785645,-23.739519,0.007087,50,"#d3b3b0"
20190,,Masken,workshop,6,0,1,4,3,3,-185.320023,-603.182007,0.008951,50,"#73c000"
20191,,"Grenzen und Begrenzungen in biologischen Systemen -
beispielhaft für uns Menschen?",workshop,6,0,1,7,5,5,-254.95079,583.121399,0.004888,50,"#df89ff"
20192,,Paradigm Change in the Arts and Sciences,workshop,6,0,1,4,8,8,-576.34552,454.989258,0.006986,50,"#ff5584"
20193,,Japanische Kalligraphie: Spielen mit Pinsel und Tusche,workshop,6,0,1,6,3,3,50.58263,-315.830475,0.007452,50,"#73c000"
20194,,Umdenken in der Naturwissenschaft,workshop,6,0,1,5,8,8,-560.13031,-76.211044,0.005443,50,"#ff5584"
20195,,"Vom Fall der Grenzen, von verratenen Kindern und ratlosen Eltern",workshop,6,0,1,4,5,5,450.855927,755.427551,0.000618,50,"#df89ff"
20196,,"Menschen zwischen Liebe, Leidenschaft und Dämonie. - Musikalische und tiefenpsychologische Betrachtungen zu Mozarts ""Don Giovanni""",workshop,6,0,1,4,1,1,180.659149,-899.696228,0.000073,50,"#c0c0c0"
20197,,Das Fenster der Verwundbarkeit,workshop,6,0,1,3,5,5,-636.075562,702.325439,0.00331,50,"#df89ff"
20198,,Eine Reise durch das Land der Schwingungen,workshop,6,0,1,4,6,6,-209.780334,-842.790527,0.003722,50,"#4c463e"
20199,,Unseren Träumen lauschen - Ihre Sprache verstehen lernen,workshop,6,0,1,4,1,1,418.308472,-637.376221,0.005325,50,"#c0c0c0"
20200,,ENT-SCHEIDENDE-FRAGEN IN DER WENDEZEIT,workshop,6,0,1,3,7,7,-410.492798,-94.163879,0.001161,50,"#00c4ff"
20201,,Recycling = Materialfluss ohne Grenzen?,workshop,6,0,1,5,5,5,-120.081245,858.417358,0.000293,50,"#df89ff"
20202,,Der kreative Discount. Ausläufer der Selbstbedienungskunst von Cortona V - non-stop-Atelier,workshop,6,0,1,4,7,7,-245.621964,-708.631531,0.001949,50,"#00c4ff"
20203,,"Mauern im Kopf - Fragen zur ""westlichen Identität""",workshop,6,0,1,4,0,0,-847.688049,585.087219,0.008996,50,"#d3b3b0"
20204,,Astronomical observation,workshop,6,0,1,2,2,2,208.531387,1066.809204,0.006411,50,"#00bd94"
20205,,Boundary between the Seif and the Non-Seif,workshop,6,0,1,5,8,8,-389.247253,807.355591,0.008474,50,"#ff5584"
20206,,Selbstbewusstsein und Präsenz im persönlichen Ausdruck,workshop,6,0,1,7,3,3,663.211792,3.589188,0.008744,50,"#73c000"
20207,,Dao Dancing,workshop,7,0,1,5,3,3,802.026184,146.481949,0.007221,50,"#73c000"
20208,,Erleben der Farben,workshop,7,0,1,3,7,7,-692.35614,-398.514526,0.003413,50,"#00c4ff"
20209,,"Geschichten, die heilen können.",workshop,7,0,1,3,5,5,117.952843,-460.782196,0.006146,50,"#df89ff"
20210,,Undoing the materialistic conception of matter,workshop,7,0,1,5,2,2,-381.229706,485.487244,0.001889,50,"#00bd94"
20211,,Gli Etruschi,workshop,7,0,1,2,0,0,-752.112976,-512.231445,0.003087,50,"#d3b3b0"
20212,,Stein - Holz - Eisen,workshop,7,0,1,2,7,7,-495.517548,-720.79657,0.007657,50,"#00c4ff"
20213,,Künstliche Intelligenz und natürliche Welt,workshop,7,0,1,5,6,6,-15.272737,514.31781,0.007068,50,"#4c463e"
