Id,Label,name,attribute,event_id,meta_category,[z],modularity_class,X,Y,Size,Color
20011,,The Structure of Thought in Western and Eastern Civilizations: The decline of Science in India as a case Study,workshop,1,0,1,2,-171.459015,139.029907,10,"#73c000"
20012,,Fragmentation and Wholeness,workshop,1,0,1,0,-119.182915,218.55719,10,"#ff8805"
20013,,The Re-Enchantment of the World,workshop,1,0,1,2,-127.705231,186.900467,10,"#73c000"
20014,,"Politics, Economy and Science",workshop,1,0,1,5,-229.623398,231.390213,10,"#00bd94"
20015,,Fragmentation and Wholeness in Science and Society,workshop,1,0,1,0,-107.76313,232.331482,10,"#ff8805"
20016,,The Re-Imagination of the world and the transformation of Science,workshop,2,0,1,2,-160.063354,199.982849,10,"#73c000"
20017,,"Wissenschaft, Religion, Meditation",workshop,1,0,1,2,-30.178442,169.310379,10,"#73c000"
20018,,Visuelle Gestaltung als Erfahrung,workshop,1,0,1,3,202.666885,192.828568,10,"#00c4ff"
20019,,Wie erleben Künstler die Wisenschaftler,workshop,1,0,1,2,66.27494,346.812042,10,"#73c000"
20020,,Halluzinogene und veränderte Zustände des Bewusstseins,workshop,1,0,1,7,64.917496,-67.020332,10,"#ff5584"
20021,,Die Beziehung zwischen Körper und Seele,workshop,1,0,1,7,70.189705,-48.794552,10,"#ff5584"
20022,,Alternative Healing Processes,workshop,1,0,1,7,-1.613024,-4.409441,10,"#ff5584"
20023,,New Realms of Music,workshop,1,0,1,4,30.182055,199.472488,10,"#4c463e"
20024,,Energetic View of Personalityand Behaviour,workshop,1,0,1,1,201.91507,-85.829269,10,"#df89ff"
20025,,Reading the Language of the Body,workshop,1,0,1,1,188.67981,-90.246582,10,"#df89ff"
20026,,Observer and Observed in Science,workshop,1,0,1,2,-211.320648,213.256516,10,"#73c000"
20027,,Homöopathische Medizin Heute,workshop,1,0,1,7,-127.105003,-161.508377,10,"#ff5584"
20028,,Science and Religion,workshop,1,0,1,3,-157.502502,224.959534,10,"#00c4ff"
20029,,Verschiedenen Arten Geistiger Heilweise,workshop,1,0,1,7,76.064163,9.353214,10,"#ff5584"
20030,,Freies Malen im Raum zwischen Rationalität und Utopie,workshop,1,0,1,3,328.553925,224.329529,10,"#00c4ff"
20031,,Myth and Science: Animism and the Narratives of Gaia,workshop,1,0,1,7,-247.275375,207.857224,10,"#ff5584"
20032,,Myth and Modern Science,workshop,1,0,1,5,-258.922577,301.836273,10,"#00bd94"
20033,,Science Beyond Foundations,workshop,1,0,1,2,-229.380188,198.171249,10,"#73c000"
20035,,Textcollage,workshop,1,0,1,3,294.751556,77.862038,10,"#00c4ff"
20036,,Body workshop Gonseth,workshop,1,0,1,7,220.992538,-23.629951,10,"#ff5584"
20037,,Wholeness and Diversity and the Ecology of mind,workshop,2,0,1,5,-125.693138,104.258293,10,"#00bd94"
20038,,"Einbezug von ökologischen, technischen und humanistischen Aspekten in die langfristige Planung der Industrie",workshop,2,0,1,0,-54.59111,213.759079,10,"#ff8805"
20039,,Wissenschaft/Wirtschaft/Ethik,workshop,2,0,1,0,-65.312866,208.232834,10,"#ff8805"
20040,,Lebendig leben- aber wie?,workshop,2,0,1,1,239.162949,-76.955429,10,"#df89ff"
20041,,Spannung zwischen Berufs- und Privatleben,workshop,2,0,1,1,230.622635,-88.02298,10,"#df89ff"
20042,,"Wissenschaft und christliche Kosmologie, ein Gegensatz?",workshop,2,0,1,7,-85.881836,204.249756,10,"#ff5584"
20043,,Meister Eckhart und die Ueberwindung der Subjekt/Objekt-Spaltung,workshop,2,0,1,7,24.440603,107.422127,10,"#ff5584"
20044,,Body workshop Gonseth 2,workshop,2,0,1,7,168.625122,-120.481232,10,"#ff5584"
20045,,A Neurobiologist's View of the Scientist's Mind,workshop,2,0,1,6,-213.943542,19.470375,10,"#d3b3b0"
20046,,Wissenschaftliche und ethische Probleme in der Molekularbiologie und Gentechnologie,workshop,2,0,1,0,-216.745209,63.758705,10,"#ff8805"
20047,,Sinnesorgane und Perzeptionsfelder des Menschen,workshop,2,0,1,7,56.731449,-15.654208,10,"#ff5584"
20048,,Theaterimprovisation,workshop,2,0,1,3,234.934235,227.285889,10,"#00c4ff"
20049,,Masken - Gestalten,workshop,2,0,1,3,272.500854,150.501907,10,"#00c4ff"
20050,,Stein-Holz-Eisen,workshop,2,0,1,3,270.804047,231.738785,10,"#00c4ff"
20051,,Musik-Improvisation,workshop,2,0,1,4,150.383789,109.253868,10,"#4c463e"
20052,,Collagen,workshop,2,0,1,3,315.327362,251.796387,10,"#00c4ff"
20053,,Zen-Meditation,workshop,2,0,1,6,29.921186,-54.386059,10,"#d3b3b0"
20054,,The Samkhya View of Science,workshop,2,0,1,2,-84.001976,94.477089,10,"#73c000"
20055,,Gegensätze und Harmonien in der Modernen Architektur,workshop,2,0,1,4,189.638657,-143.867218,10,"#4c463e"
20056,,The coevolution of global interconnectedness and education,workshop,2,0,1,4,-24.164101,267.481903,10,"#4c463e"
20057,,Das Sender/Empfänger Konzept der Wirklichkeit,workshop,2,0,1,2,-201.520676,117.170815,10,"#73c000"
20058,,Psychologische Grundlagen der Alchemie,workshop,2,0,1,4,10.240824,90.255272,10,"#4c463e"
20059,,Glauben in Wissenschaft und Religion,workshop,2,0,1,2,-62.860104,139.58075,10,"#73c000"
20060,,Die Gegensätze Erotik/Religion und Frau/Spiritualität,workshop,2,0,1,5,-81.241722,250.760757,10,"#00bd94"
20061,,Astronomische Forschung und ihre Entwicklung,workshop,2,0,1,6,-221.101639,1.446866,10,"#d3b3b0"
20062,,Kunst und Erziehung - Erfahrungen im Bereich des Malens,workshop,2,0,1,0,179.983337,217.619507,10,"#ff8805"
20063,,Gemeinsame Wandmalerei,workshop,2,0,1,3,315.846893,234.360748,10,"#00c4ff"
20064,,Gedächtnis und Antizipation,workshop,3,0,1,6,-241.425339,17.623913,10,"#d3b3b0"
20065,,Das Problem der Realität in der Physik,workshop,3,0,1,2,-208.936111,166.959015,10,"#73c000"
20066,,Aesthetik des Lebendigen,workshop,3,0,1,2,50.674744,128.036835,10,"#73c000"
20067,,Wahrnehmung in Zen-Buddhismus,workshop,3,0,1,7,11.560723,-73.252686,10,"#ff5584"
20068,,Olfaktorische Wahrnehmung,workshop,3,0,1,0,-150.651108,11.259995,10,"#ff8805"
20069,,Wie wirklich ist die Wirklichkeit,workshop,3,0,1,2,-177.390228,126.964378,10,"#73c000"
20070,,Kindliche Wahrnehmung - dialogische Wahrnehmung,workshop,3,0,1,0,-36.535976,65.450371,10,"#ff8805"
20071,,Das Pendel als Hilsmittel zur Wahrnehmung,workshop,3,0,1,7,69.740685,-96.37265,10,"#ff5584"
20072,,Overtone Music. Theory and Praxis,workshop,3,0,1,1,198.534836,56.482597,10,"#df89ff"
20073,,Colour and Vision,workshop,3,0,1,7,-57.133625,-69.180077,10,"#ff5584"
20075,,Tai-ci-Quan,workshop,3,0,1,1,132.358429,-79.982613,10,"#df89ff"
20076,,Perception of future economy and ethics,workshop,3,0,1,0,-158.880798,213.189392,10,"#ff8805"
20077,,Aktive Sinnerswahrnehmung,workshop,3,0,1,0,42.23951,112.552277,10,"#ff8805"
20078,,Hypnosetherapie,workshop,3,0,1,1,160.244003,53.269875,10,"#df89ff"
20079,,Bauform als Zeichen und Symbol,workshop,3,0,1,4,54.512188,76.973335,10,"#4c463e"
20080,,Stein-Holz-Eisen,workshop,3,0,1,3,170.849411,189.709213,10,"#00c4ff"
20081,,Musikimprovisation,workshop,3,0,1,4,122.386162,199.695923,10,"#4c463e"
20082,,Der komponierende und improvisierende Computer,workshop,3,0,1,4,124.374825,263.366547,10,"#4c463e"
20083,,Die Schöpfung als menschlicher Ort,workshop,3,0,1,3,94.682404,107.033737,10,"#00c4ff"
20084,,Wahrnehmung des Selbst in der Alchemie,workshop,3,0,1,1,108.251572,63.546051,10,"#df89ff"
20085,,"Wahrnehmung im Alltag - Liebe, Beruf, Erziehung",workshop,3,0,1,7,-105.282227,87.183868,10,"#ff5584"
20086,,"Gebrauch,Gefahren und Erfahrungen mit psychedelischen Drogen",workshop,3,0,1,7,36.924267,-137.087296,10,"#ff5584"
20087,,Wahrnehmung in der Tibetischen Tradition,workshop,3,0,1,2,-39.023956,-19.172106,10,"#73c000"
20088,,Weiterbildung in Körpertherapie,workshop,3,0,1,5,89.865097,88.575821,10,"#00bd94"
20089,,Ki-kraft,workshop,3,0,1,1,110.649605,-22.092897,10,"#df89ff"
20090,,Bioenergetics,workshop,3,0,1,1,171.228378,-38.901505,10,"#df89ff"
20091,,"Bioenergetics, Arbeit mit Träumen",workshop,3,0,1,1,185.444626,3.00024,10,"#df89ff"
20092,,Focusing,workshop,3,0,1,3,52.774628,9.193758,10,"#00c4ff"
20093,,"Perception of the Bodyform, Postural Integration and Rolfing",workshop,3,0,1,1,47.707539,-60.360252,10,"#df89ff"
20100,,Body work Scheidegger,workshop,1,0,1,1,246.158722,-17.450781,10,"#df89ff"
20101,,Body work Müller,workshop,1,0,1,1,166.305618,-78.00885,10,"#df89ff"
20102,,Body work Walterspiel,workshop,1,0,1,1,115.665405,-77.302727,10,"#df89ff"
20103,,Body work Scheidegger 2,workshop,2,0,1,1,159.757187,20.3729,10,"#df89ff"
20104,,Body work Müller 2,workshop,2,0,1,1,176.473984,-69.556648,10,"#df89ff"
20105,,Body work Walterspiel 2,workshop,2,0,1,1,110.936813,-69.122192,10,"#df89ff"
20106,,Spannung zwischen Beruf- und Privatleben 2,workshop,2,0,1,5,35.083298,289.416779,10,"#00bd94"
20107,,Interspecies Communication,workshop,3,0,1,2,26.991869,262.55191,10,"#73c000"
20108,,Geld und Magie - die Utopie der modernen Zeit. Eine Dichtung von Goethe's Faust,workshop,4,0,1,0,-85.812706,154.061676,10,"#ff8805"
20109,,Utopie/Astrologie,workshop,4,0,1,3,254.944855,-63.456253,10,"#00c4ff"
20110,,Frauenmystik im Mittelalter. Religiöse Utopie als Daseinsveränderung?,workshop,4,0,1,5,-49.982731,185.043793,10,"#00bd94"
20111,,Mitsingen,workshop,4,0,1,3,204.639801,247.471313,10,"#00c4ff"
20112,,Method and dream,workshop,4,0,1,2,-51.332722,79.073784,10,"#73c000"
20113,,Schulung der Achtsamkeit im Sinne von Graf Dürckheim,workshop,4,0,1,1,137.748001,2.401503,10,"#df89ff"
20114,,The Mechanistic Model of Life: A Critical Reexamination in the Light of Recent Advances in Biological Knowledge,workshop,4,0,1,2,-155.587219,84.046188,10,"#73c000"
20115,,Anthrop-Art; Menschenkundliches zur Kunst,workshop,4,0,1,2,40.145992,174.901031,10,"#73c000"
20116,,Mut und Mitwelt,workshop,4,0,1,7,-170.0289,151.993668,10,"#ff5584"
20117,,Focusing,workshop,4,0,1,7,126.801804,77.910645,10,"#ff5584"
20118,,Stein-Holz-Eisen,workshop,4,0,1,3,249.81282,201.027618,10,"#00c4ff"
20119,,Feministische Solidarität: Mehr als Utopie?,workshop,4,0,1,5,60.147446,211.732483,10,"#00bd94"
20120,,Tarot,workshop,4,0,1,1,205.403503,-60.669231,10,"#df89ff"
20121,,"Erziehung zur psychischen Ge-
sundheit",workshop,4,0,1,0,-22.111696,4.821589,10,"#ff8805"
20122,,Was geht? Was ginge?,workshop,4,0,1,2,-16.465973,209.32959,10,"#73c000"
20123,,Teleskope und Weltraumsonden - unsere zukünftige Sicht des Weltalls,workshop,4,0,1,6,-233.199188,5.604404,10,"#d3b3b0"
20124,,Theatre lmprovise,workshop,4,0,1,3,238.394302,282.592834,10,"#00c4ff"
